,mmBtu per gallon,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per gallon,g CH4 per gallon,g N2O per gallon
Asphalt and Road Oil,0.158,75.36,3,0.6,11.91,0.47,0.09
Aviation Gasoline,0.12,69.25,3,0.6,8.31,0.36,0.07
Butane,0.103,64.77,3,0.6,6.67,0.31,0.06
Butylene,0.105,68.72,3,0.6,7.22,0.32,0.06
Crude Oil,0.138,74.54,3,0.6,10.29,0.41,0.08
Distillate Fuel Oil No. 1,0.139,73.25,3,0.6,10.18,0.42,0.08
Distillate Fuel Oil No. 2,0.138,73.96,3,0.6,10.21,0.41,0.08
Distillate Fuel Oil No. 4,0.146,75.04,3,0.6,10.96,0.44,0.09
Ethane,0.068,59.6,3,0.6,4.05,0.2,0.04
Ethylene,0.058,65.96,3,0.6,3.83,0.17,0.03
Heavy Gas Oils,0.148,74.92,3,0.6,11.09,0.44,0.09
Isobutane,0.099,64.94,3,0.6,6.43,0.3,0.06
Isobutylene,0.103,68.86,3,0.6,7.09,0.31,0.06
Kerosene,0.135,75.2,3,0.6,10.15,0.41,0.08
Kerosene-Type Jet Fuel,0.135,72.22,3,0.6,9.75,0.41,0.08
Liquefied Petroleum Gases (LPG),0.092,61.71,3,0.6,5.68,0.28,0.06
Lubricants,0.144,74.27,3,0.6,10.69,0.43,0.09
Motor Gasoline,0.125,70.22,3,0.6,8.78,0.38,0.08
Naphtha (<401 deg F),0.125,68.02,3,0.6,8.5,0.38,0.08
Natural Gasoline,0.11,66.88,3,0.6,7.36,0.33,0.07
Other Oil (>401 deg F),0.139,76.22,3,0.6,10.59,0.42,0.08
Pentanes Plus,0.11,70.02,3,0.6,7.7,0.33,0.07
Petrochemical Feedstocks,0.125,71.02,3,0.6,8.88,0.38,0.08
Petroleum Coke,0.143,102.41,3,0.6,14.64,0.43,0.09
Propane,0.091,62.87,3,0.6,5.72,0.27,0.05
Propylene,0.091,67.77,3,0.6,6.17,0.27,0.05
Residual Fuel Oil No. 5,0.14,72.93,3,0.6,10.21,0.42,0.08
Residual Fuel Oil No. 6,0.15,75.1,3,0.6,11.27,0.45,0.09
Special Naphtha,0.125,72.34,3,0.6,9.04,0.38,0.08
Unfinished Oils,0.139,74.54,3,0.6,10.36,0.42,0.08
Used Oil,0.138,74,3,0.6,10.21,0.41,0.08
Biodiesel -100%,0.128,73.84,1.1,0.11,9.45,0.14,0.01
Ethanol -100%,0.084,68.44,1.1,0.11,5.75,0.09,0.01
Rendered Animal Fat,0.125,71.06,1.1,0.11,8.88,0.14,0.01
Vegetable Oil,0.12,81.55,1.1,0.11,9.79,0.13,0.01
